date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-02-01 00:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,8,11,8,57,67,68,0.1,1007,11,10,223,40,Istanbul
2019-02-01 01:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,8,11,8,58,77,69,0.1,1008,11,10,228,40,Istanbul
2019-02-01 02:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,7,11,7,58,88,70,0.2,1008,11,10,233,40,Istanbul
2019-02-01 03:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,7,11,7,58,98,71,0.2,1009,11,10,238,41,Istanbul
2019-02-01 04:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,7,10,7,54,99,73,0.1,1010,10,10,245,38,Istanbul
2019-02-01 05:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,6,10,6,49,99,75,0.4,1011,10,10,252,35,Istanbul
2019-02-01 06:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,6,10,6,45,100,77,0.5,1012,10,10,259,32,Istanbul
2019-02-01 07:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,6,10,6,42,98,75,0.2,1013,10,9,260,30,Istanbul
2019-02-01 08:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,7,10,7,39,96,73,0.5,1014,10,8,261,28,Istanbul
2019-02-01 09:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,7,10,7,36,93,71,0.6,1015,10,8,262,26,Istanbul
2019-02-01 10:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,8,11,8,34,89,68,0.3,1015,11,7,256,25,Istanbul
2019-02-01 11:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,8,11,8,32,85,66,0.1,1016,11,7,249,24,Istanbul
2019-02-01 12:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,9,11,9,31,81,63,0.1,1017,11,7,242,23,Istanbul
2019-02-01 13:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,9,12,9,29,73,63,0.0,1017,12,8,242,21,Istanbul
2019-02-01 14:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,10,12,10,27,65,62,0.0,1017,12,9,242,20,Istanbul
2019-02-01 15:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,10,12,10,26,57,62,0.0,1017,12,10,242,19,Istanbul
2019-02-01 16:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,5,10,12,10,24,41,63,0.0,1018,12,10,240,17,Istanbul
2019-02-01 17:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,11,12,11,21,25,64,0.0,1018,12,10,238,15,Istanbul
2019-02-01 18:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,11,12,11,19,9,65,0.0,1018,12,10,235,13,Istanbul
2019-02-01 19:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,11,12,11,19,8,67,0.0,1019,12,10,229,13,Istanbul
2019-02-01 20:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,6,11,12,11,19,8,68,0.0,1019,12,10,223,13,Istanbul
2019-02-01 21:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,7,11,12,11,20,8,70,0.0,1019,12,10,217,13,Istanbul
2019-02-01 22:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,7,10,12,10,21,6,71,0.0,1019,12,10,212,14,Istanbul
2019-02-01 23:00:00,12,10,0.0,8.3,3,8,05:44 AM,03:23 PM,08:15 AM,06:20 PM,7,10,12,10,22,5,72,0.0,1019,12,10,208,14,Istanbul
2019-02-02 00:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,7,10,11,10,23,4,73,0.0,1020,11,10,203,15,Istanbul
2019-02-02 01:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,9,11,9,24,5,73,0.0,1020,11,10,201,15,Istanbul
2019-02-02 02:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,9,11,9,25,5,72,0.0,1020,11,10,198,16,Istanbul
2019-02-02 03:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,9,11,9,26,6,71,0.0,1020,11,10,196,16,Istanbul
2019-02-02 04:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,9,11,9,26,7,71,0.0,1020,11,10,193,16,Istanbul
2019-02-02 05:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,9,11,9,26,8,71,0.0,1020,11,10,191,16,Istanbul
2019-02-02 06:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,9,11,9,26,9,70,0.0,1020,11,10,189,17,Istanbul
2019-02-02 07:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,9,11,9,26,9,69,0.0,1020,11,10,189,17,Istanbul
2019-02-02 08:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,5,9,11,9,26,8,67,0.0,1020,11,10,189,17,Istanbul
2019-02-02 09:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,5,9,11,9,26,8,66,0.0,1020,11,10,189,17,Istanbul
2019-02-02 10:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,5,10,12,10,26,8,64,0.0,1020,12,10,192,18,Istanbul
2019-02-02 11:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,11,12,11,26,7,63,0.0,1020,12,10,195,18,Istanbul
2019-02-02 12:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,11,13,11,26,6,61,0.0,1020,13,10,198,18,Istanbul
2019-02-02 13:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,6,12,13,12,23,6,62,0.0,1019,13,10,200,16,Istanbul
2019-02-02 14:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,7,13,14,13,21,6,63,0.0,1019,14,10,202,15,Istanbul
2019-02-02 15:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,8,14,14,14,18,6,64,0.0,1019,14,10,204,13,Istanbul
2019-02-02 16:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,8,14,14,14,16,6,65,0.0,1019,14,10,200,12,Istanbul
2019-02-02 17:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,8,14,15,14,15,6,66,0.0,1019,15,10,196,10,Istanbul
2019-02-02 18:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,9,14,15,14,13,6,68,0.0,1019,15,10,191,9,Istanbul
2019-02-02 19:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,8,13,14,13,14,6,69,0.0,1019,14,10,184,9,Istanbul
2019-02-02 20:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,8,12,13,12,16,7,70,0.0,1019,13,10,176,10,Istanbul
2019-02-02 21:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,7,11,13,11,18,8,71,0.0,1020,13,10,168,11,Istanbul
2019-02-02 22:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,7,11,12,11,18,8,70,0.0,1020,12,10,168,11,Istanbul
2019-02-02 23:00:00,15,11,0.0,10.1,4,1,06:35 AM,04:12 PM,08:14 AM,06:22 PM,7,11,12,11,19,8,69,0.0,1020,12,10,167,12,Istanbul
2019-02-03 00:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,7,11,12,11,20,8,69,0.0,1020,12,10,167,12,Istanbul
2019-02-03 01:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,6,10,12,10,20,8,68,0.0,1020,12,10,167,12,Istanbul
2019-02-03 02:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,6,10,12,10,21,8,67,0.0,1019,12,10,167,12,Istanbul
2019-02-03 03:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,5,10,11,10,21,9,66,0.0,1019,11,10,168,13,Istanbul
2019-02-03 04:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,5,10,11,10,21,8,66,0.0,1020,11,10,169,13,Istanbul
2019-02-03 05:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,5,10,11,10,21,7,65,0.0,1020,11,10,170,13,Istanbul
2019-02-03 06:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,5,10,12,10,21,7,65,0.0,1020,12,10,171,13,Istanbul
2019-02-03 07:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,5,11,12,11,21,6,62,0.0,1020,12,10,169,13,Istanbul
2019-02-03 08:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,5,12,13,12,20,5,60,0.0,1020,13,10,166,13,Istanbul
2019-02-03 09:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,5,12,13,12,19,4,58,0.0,1020,13,10,164,13,Istanbul
2019-02-03 10:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,6,14,14,14,18,4,57,0.0,1019,14,10,165,12,Istanbul
2019-02-03 11:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,7,15,15,15,17,3,56,0.0,1019,15,10,166,12,Istanbul
2019-02-03 12:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,7,16,16,16,16,2,55,0.0,1019,16,10,166,12,Istanbul
2019-02-03 13:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,8,16,16,16,14,2,58,0.0,1019,16,10,165,10,Istanbul
2019-02-03 14:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,9,17,17,17,12,2,61,0.0,1019,17,10,163,9,Istanbul
2019-02-03 15:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,10,17,17,17,10,3,63,0.0,1019,17,10,161,8,Istanbul
2019-02-03 16:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,9,16,16,16,10,3,63,0.0,1020,16,10,154,7,Istanbul
2019-02-03 17:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,8,16,16,16,10,4,62,0.0,1020,16,10,147,6,Istanbul
2019-02-03 18:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,8,15,15,15,10,5,61,0.0,1020,15,10,140,6,Istanbul
2019-02-03 19:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,7,14,15,14,12,33,61,0.0,1021,15,10,141,7,Istanbul
2019-02-03 20:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,7,14,14,14,14,60,61,0.0,1021,14,10,141,8,Istanbul
2019-02-03 21:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,6,13,13,13,16,87,61,0.0,1021,13,10,142,9,Istanbul
2019-02-03 22:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,6,13,13,13,16,89,62,0.0,1021,13,10,146,9,Istanbul
2019-02-03 23:00:00,17,11,0.0,10.1,4,0,07:21 AM,05:05 PM,08:13 AM,06:23 PM,6,13,13,13,16,90,63,0.0,1021,13,10,151,9,Istanbul
2019-02-04 00:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,6,13,13,13,17,91,65,0.0,1021,13,10,155,9,Istanbul
2019-02-04 01:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,7,13,13,13,15,62,66,0.0,1021,13,10,157,8,Istanbul
2019-02-04 02:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,7,13,13,13,14,34,67,0.0,1021,13,10,159,8,Istanbul
2019-02-04 03:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,14,13,14,12,5,68,0.0,1021,13,10,161,7,Istanbul
2019-02-04 04:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,14,13,14,11,5,69,0.0,1021,13,10,164,6,Istanbul
2019-02-04 05:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,14,13,14,9,4,69,0.0,1021,13,10,166,6,Istanbul
2019-02-04 06:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,14,13,14,8,4,69,0.0,1022,13,10,169,5,Istanbul
2019-02-04 07:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,14,14,14,7,4,67,0.0,1022,14,10,163,5,Istanbul
2019-02-04 08:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,15,15,15,6,4,65,0.0,1022,15,10,157,4,Istanbul
2019-02-04 09:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,15,15,15,5,4,63,0.0,1022,15,10,151,4,Istanbul
2019-02-04 10:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,16,16,16,5,4,60,0.0,1021,16,10,135,4,Istanbul
2019-02-04 11:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,16,16,16,5,4,57,0.0,1021,16,10,119,4,Istanbul
2019-02-04 12:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,17,17,17,5,5,55,0.0,1021,17,10,104,4,Istanbul
2019-02-04 13:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,17,17,17,7,5,56,0.0,1020,17,10,85,5,Istanbul
2019-02-04 14:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,8,16,16,16,8,6,56,0.0,1020,16,10,66,6,Istanbul
2019-02-04 15:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,7,16,16,16,10,7,57,0.0,1020,16,10,47,8,Istanbul
2019-02-04 16:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,7,15,15,15,13,7,58,0.0,1020,15,10,46,9,Istanbul
2019-02-04 17:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,7,13,14,13,17,7,59,0.0,1021,14,10,45,11,Istanbul
2019-02-04 18:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,6,12,14,12,20,7,61,0.0,1021,14,10,44,13,Istanbul
2019-02-04 19:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,6,12,13,12,21,7,61,0.0,1021,13,10,47,13,Istanbul
2019-02-04 20:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,6,12,13,12,21,6,62,0.0,1021,13,10,49,13,Istanbul
2019-02-04 21:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,6,12,13,12,21,6,62,0.0,1021,13,10,52,13,Istanbul
2019-02-04 22:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,6,12,13,12,19,37,63,0.0,1021,13,10,51,11,Istanbul
2019-02-04 23:00:00,17,13,0.0,10.1,3,0,08:02 AM,06:01 PM,08:12 AM,06:24 PM,6,11,12,11,16,68,64,0.0,1021,12,10,50,10,Istanbul
2019-02-05 00:00:00,14,10,0.0,10.1,3,0,08:37 AM,06:58 PM,08:11 AM,06:25 PM,6,11,12,11,14,100,65,0.0,1021,12,10,48,9,Istanbul
2019-02-05 01:00:00,14,10,0.0,10.1,3,0,08:37 AM,06:58 PM,08:11 AM,06:25 PM,6,11,12,11,14,69,66,0.0,1021,12,10,43,9,Istanbul
2019-02-05 02:00:00,14,10,0.0,10.1,3,0,08:37 AM,06:58 PM,08:11 AM,06:25 PM,6,10,12,10,15,39,68,0.0,1021,12,10,37,9,Istanbul
2019-02-05 03:00:00,14,10,0.0,10.1,3,0,08:37 AM,06:58 PM,08:11 AM,06:25 PM,6,10,11,10,15,9,69,0.0,1021,11,10,31,9,Istanbul
2019-02-05 04:00:00,14,10,0.0,10.1,3,0,08:37 AM,06:58 PM,08:11 AM,06:25 PM,6,9,11,9,16,7,71,0.0,1021,11,10,31,10,Istanbul
